animal_id,name,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,Gender_identity,age_upon_outcome,breed,color
A771830,*Bradley,2018-12-27T13:25:00,2018-12-27T13:25:00,5/10/2017,Adoption,Foster,Nuuered Mals Dog,Neutered Male,1 year,Pit Bull Mix,White/Blue
A779576,*Rajah,2018-10-01T17:03:00,2018-10-01T17:03:00,4/18/2018,Adoption,,Neutered Male Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A741715,*Pebbles,2017-01-11T18:17:00,2017-01-11T18:17:00,3/7/2016,Adoption,,Spaed Femalp Ckt,Spayed Female,10 months,Domestic Shorthair Mix,Calico
A658751,Benji,2016-11-13T13:38:00,2016-11-13T13:38:00,7/14/2011,Return to Owner,,Neutered Male Dog,Neutered Male,5 years,Border Terrier Mix,Tan
A721285,,2016-02-24T14:42:00,2016-02-24T14:42:00,2/24/2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon Mix,Black/Gray
A746650,Rose,2017-04-07T11:58:00,2017-04-07T11:58:00,4/6/2016,Return to Owner,,Intact Female Dog,Intact Female,1 year,Labrador Retriever/Jack Russell Terrier,Yellow
A750122,Happy Camper,2017-05-24T18:36:00,2017-05-24T18:36:00,4/8/2017,Transfer,Partner,IntaitMalelDog,Intact Male,1 month,Labrador Retriever Mix,Black
A756696,Shakti,2017-09-01T11:23:00,2017-09-01T11:23:00,8/24/2014,Return to Owner,,Spayed Female Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue/White
A784168,,2018-11-14T12:33:00,2018-11-14T12:33:00,3/12/2018,Transfer,Partner,Itact naje Dog,Intact Male,8 months,English Springer Spaniel Mix,Black/White
A707443,,2015-07-13T13:50:00,2015-07-13T13:50:00,6/21/2015,Transfer,Partner,Intact Female Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black Smoke
A666430,Lucy,2013-11-07T11:47:00,2013-11-07T11:47:00,11/6/2012,Transfer,Partner,Spayed FsmalyDog,Spayed Female,1 year,Beagle Mix,White/Brown
A675708,*Johnny,2014-06-03T14:20:00,2014-06-03T14:20:00,3/31/2013,Adoption,,Neutered Male Dog,Neutered Male,1 year,Pit Bull,Blue/White
A680386,Monday,2014-06-15T15:50:00,2014-06-15T15:50:00,6/2/2005,Transfer,Partner,NeutefedyMaleDog,Neutered Male,9 years,Miniature Schnauzer Mix,White
A684346,,2014-07-22T16:04:00,2014-07-22T16:04:00,7/7/2014,Transfer,Partner,Intact Male Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A754895,Miso,2017-07-30T12:03:00,2017-07-30T12:03:00,6/7/2017,Adoption,,Inhct Mave Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A683115,,2014-07-07T14:04:00,2014-07-07T14:04:00,1/7/2014,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Brown
A664462,*Edgar,2013-10-07T13:06:00,2013-10-07T13:06:00,6/3/2013,Transfer,Partner,Inqact Mle log,Intact Male,4 months,Leonberger Mix,Brown/White
A785671,Toots,2018-12-07T17:36:00,2018-12-07T17:36:00,12/7/2015,Return to Owner,,Intact Female Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue Tabby
A762837,,2017-12-02T16:24:00,2017-12-02T16:24:00,11/28/2016,Transfer,Partner,heutered MalbDog,Neutered Male,1 year,Australian Shepherd/Nova Scotia Duck Tolling Retriever,Chocolate/White
A713785,,2015-10-19T14:55:00,2015-10-19T14:55:00,5/29/2015,Transfer,Partner,Neutered Male Dog,Neutered Male,4 months,Labrador Retriever Mix,Red
A741783,,2017-01-12T17:02:00,2017-01-12T17:02:00,11/18/2016,Adoption,,SpafedFemele Dog,Spayed Female,1 month,Labrador Retriever Mix,Tan/White
A764447,,2018-01-18T16:59:00,2018-01-18T16:59:00,10/30/2017,Adoption,,Spayed Female Dog,Spayed Female,2 months,Pit Bull Mix,Brown/White
A697000,Boone,2015-02-16T13:24:00,2015-02-16T13:24:00,2/16/2009,Return to Owner,,Neuteres MalvDog,Neutered Male,6 years,English Springer Spaniel Mix,Liver/White
A777321,Lucky Charm,2018-08-23T19:00:00,2018-08-23T19:00:00,6/12/2018,Adoption,,Neutered Male Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
